Run,MSR_cumm,MSR_window
2023-02-05,2.73,2.73
2023-02-12,2.67,2.75
2023-02-19,2.61,2.64
2023-02-26,2.56,2.6
2023-03-05,2.73,2.88
2023-03-12,2.86,3.01
2023-03-19,2.79,2.89
2023-03-26,2.83,3.03
2023-04-02,2.81,3.09
2023-04-09,2.84,3.29
2023-04-16,2.78,2.92
2023-04-23,2.75,2.6
2023-04-30,2.76,2.72
2023-05-07,2.73,2.53
2023-05-14,2.77,2.7
2023-05-21,2.86,2.7
2023-05-28,2.8,2.62
2023-06-04,2.76,2.57
2023-06-11,2.77,2.67
2023-06-18,2.76,2.73
2023-06-25,2.88,3.15
2023-07-02,2.86,2.87
2023-07-09,2.89,3.3
2023-07-16,2.87,3.34
2023-07-23,2.93,3.67
2023-07-30,2.91,3.62
2023-08-06,2.91,3.04
2023-08-13,2.92,3.21
2023-08-20,2.93,3.13
2023-08-27,2.93,3.25
2023-09-03,2.93,2.96
2023-09-10,2.91,2.95
2023-09-17,2.91,2.9
2023-09-24,2.87,2.68
2023-10-01,2.89,2.68
